rank,country,imfGDP,gdpPerCapita,population
129,Brunei,13325000000,30753.4302,433.285
130,Bahamas,13262000000,34050.3541,389.482
131,Armenia,13105000000,4430.7613,2957.731
132,Macedonia,12884000000,6183.947,2083.459
133,Madagascar,12734000000,472.1664,26969.307
134,Guinea,12623000000,988.3922,12771.246
135,Nicaragua,12612000000,1926.8194,6545.502
136,Equatorial Guinea,12432000000,9168.2363,1355.986
137,Moldova,12037000000,2977.051,4043.263
138,Chad,11372000000,713.1177,15946.876
139,Benin,11184000000,947.7042,11801.151
140,Republic of the Congo,11162000000,2074.5253,5380.508
141,Rwanda,10211000000,808.6672,12626.95
142,Niger,9724000000,417.1472,23310.715
143,Haiti,9602000000,852.5201,11263.077
144,Kyrgyzstan,8334000000,1298.9705,6415.85
145,Somalia,7903000000,511.756,15442.905
146,Eritrea,7718000000,2206.9608,3497.117
147,Tajikistan,7698000000,825.8755,9321.018
148,Malawi,7436000000,399.168,18628.747
149,Maldives,5749000000,10827.7004,530.953
150,Togo,5592000000,691.8766,8082.366
151,Mauritania,5569000000,1230.529,4525.696
152,Montenegro,5443000000,8667.3769,627.987
153,Fiji,5324000000,5982.3384,889.953
154,Barbados,5207000000,18141.2769,287.025
155,Swaziland,4662000000,4060.5158,1148.13
156,Sierra Leone,3998000000,511.6972,7813.215
157,Guyana,3830000000,4892.9054,782.766
158,Suriname,3683000000,6335.0144,581.372
159,Burundi,3573000000,309.8717,11530.58
160,Liberia,3221000000,652.3711,4937.374
161,South Sudan,3151000000,284.8461,11062.113
162,Timor-Leste,3145000000,2432.1041,1293.119
163,Aruba,2875000000,27042.5344,106.314
164,Bhutan,2840000000,3721.7007,763.092
165,Lesotho,2811000000,1322.6567,2125.268
166,Djibouti,2392000000,2456.9621,973.56
167,Central African Republic,2285000000,481.5408,4745.185
168,Cape Verde,2042000000,3713.1661,549.935
169,Belize,1997000000,5115.8823,390.353
170,Saint Lucia,1971000000,10782.8656,182.79
171,Gambia,1741000000,741.575,2347.706
172,Antigua and Barbuda,1717000000,17679.5239,97.118
173,Seychelles,1654000000,16922.6204,97.739
174,San Marino,1620000000,47844.0638,33.86
175,Guinea-Bissau,1538000000,800.6572,1920.922
176,Solomon Islands,1511000000,2255.8198,669.823
177,Grenada,1272000000,11356.8387,112.003
178,Saint Kitts and Nevis,1058000000,20029.154,52.823
179,Vanuatu,942000000,3141.2356,299.882
180,Samoa,902000000,4576.4268,197.097
